# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.8094057325105624,2.2635849306103686,0.7616184360985294,-4.828444684336349,1.1699452789967717,3.0,-0.10248856385981867,0.0,-6.866747397994218,0.0
 1.8157327291381216,2.271020256146518,0.7609846782845024,-4.871890571965759,1.1889262688794493,3.0,-0.09146981571763343,0.0,-6.2284888492310015,0.0
 1.8220648417826693,2.2785809524234737,0.760334991846042,-4.911330064964399,1.2079226068130924,3.0,-0.0813135582073108,0.0,-5.62586611269852,0.0
 1.8284009654701943,2.2862659848301017,0.7596698045199072,-4.946976248503912,1.226930977875667,2.99999999999993,-0.07193617948555461,0.0,-5.055799865482733,0.0
 1.8347400618941498,2.294074318755266,0.7589895440428568,-4.979025451351429,1.2459482671475335,2.999999999999965,-0.06326347711154945,0.0,-4.515526358288642,0.0
 1.841081154567244,2.3020049195878327,0.7582946381516499,-5.007658822457136,1.2649715451668162,3.0,-0.05522944722420308,0.0,-4.002559180482457,0.0
 1.8474233243673583,2.3100567527166667,0.7575855145830453,-5.033043732414763,1.2839980545671592,3.000000000000035,-0.047775252269611955,0.0,-3.5146562973456974,0.0
 1.8537657054432826,2.3182287835306328,0.756862601073802,-5.055335022003426,1.3030251977949319,3.0,-0.04084832862925238,0.0,-3.0497915530784687,0.0
 1.8601074814489726,2.326519977418596,0.756126325360679,-5.074676116897095,1.322050525812002,3.0,-0.034401624602324134,0.0,-2.6061299632406527,0.0
 1.8664478820778407,2.334929299769422,0.7553771151804352,-5.091200024954938,1.3410717276986064,3.0,-0.028392938517422254,0.0,-2.1820062265242037,0.0
 1.8727861798711363,2.343455715971976,0.7546153982698295,-5.1050302302054735,1.3600866210784932,3.000000000000035,-0.02278434208905997,0.0,-1.7759059981261682,0.0
 1.8791216872768135,2.3520981914151218,0.7538416023656208,-5.116281495808389,1.3790931432955251,3.000000000000035,-0.017541691953972954,0.0,-1.3864495138472008,0.0
 1.8854537539374165,2.360855691487726,0.7530561552045681,-5.12506058655163,1.3980893432773345,3.000000000000035,-0.012634194045654273,0.0,-1.012377247779982,0.0
 1.8917817641874335,2.3697271815786536,0.7522594845234305,-5.131466920152466,1.4170733740273855,3.000000000000035,-0.008034026444146426,0.0,-0.6525373085639717,0.0
 1.89810513474236,2.378711627076769,0.7514520180589668,-5.13559315535543,1.436043485692165,2.99999999999993,-0.0037160089070125053,0.0,-0.30587434609643405,0.0
 1.904423312563294,2.387807993370938,0.7506341835479358,-5.137525723864929,1.4549980191549663,3.0,0.0003427171365736112,0.0,0.028580238998522765,0.0
 1.9107357728823482,2.397015245850025,0.7498064087270967,-5.137345312240342,1.473935400112129,2.999999999999965,0.004162753004030837,0.0,0.3517169509743601,0.0
 1.9170420173754885,2.4063323499028964,0.7489691213332083,-5.135127299155116,1.4928541335915504,3.0000000000000706,0.007763064091818527,0.0,0.664355874221557,0.0
 1.9233415724705936,2.4157582709184156,0.7481227491030296,-5.1309421527227,1.5117527988768655,3.0,0.011160756413337764,0.0,0.9672534843913554,0.0
 1.9296339877796385,2.4252919742854484,0.7472677197733193,-5.1248557920897895,1.5306300448040002,3.0,0.01437147924486626,0.0,1.2611087130056504,0.0
 1.9359188346448652,2.4349324253928604,0.7464044610808367,-5.116929916948146,1.5494845853996804,2.9999999999999645,0.01740951629875616,0.0,1.5465683499272849,0.0
 1.9421957047897176,2.4446785896295165,0.7455334007623405,-5.107222308245513,1.5683151958342374,3.0,0.020287934688523503,0.0,1.8242318745538417,0.0
 1.948464209066119,2.454529432384282,0.7446549665545898,-5.095787102938725,1.5871207086634416,2.9999999999999645,0.023018694204332488,0.0,2.0946557731608317,0.0
 1.9547239762904087,2.4644839190460215,0.7437695861943435,-5.0826750453837235,1.6059000103363106,3.0,0.02561276462747442,0.0,2.3583574138798804,0.0
 1.9609746521609226,2.4745410150036005,0.7428776874183606,-5.067933717602737,1.6246520379478526,3.000000000000071,0.02808021556636329,0.0,2.6158185224367405,0.0
 1.9672158982508043,2.4846996856458836,0.7419796979633998,-5.051607750477738,1.643375776217498,3.0000000000000355,0.030430302268393244,0.0,2.8674883127131987,0.0
 1.9734473910701913,2.494958896361737,0.7410760455662202,-5.03373901764739,1.6620702546756592,3.0000000000000355,0.03267154368622718,0.0,3.113786302882972,0.0
 1.9796688211924096,2.5053176125400243,0.7401671579635807,-5.014366813748483,1.6807345450423143,3.0000000000000355,0.034811788870673814,0.0,3.355104861371375,0.0
 1.98587989243928,2.5157747995696123,0.7392534628922404,-4.993528018413785,1.6993677587829255,3.0,0.03685827870950269,0.0,3.591811503370813,0.0
 1.9920803211210307,2.5263294228393653,0.738335388088958,-4.9712572473488414,1.7179690448281777,3.0,0.038817701106249554,0.0,3.8242509747195177,0.0
 1.9982698353267099,2.5369804477381477,0.7374133612904926,-4.947586991614733,1.7365375874452151,3.0,0.040696239537633135,0.0,4.052747137371065,0.0
 2.004448174261317,2.547726839654826,0.7364878102336032,-4.922547746183796,1.7550726042490368,3.000000000000072,0.04249961902697649,0.0,4.277604681491865,0.0
 2.010615087626185,2.5585675639782646,0.7355591626550485,-4.896168128703882,1.7735733443436417,3.000000000000108,0.04423314424808833,0.0,4.499110686596807,0.0
 2.0167703350394417,2.5695015860973287,0.7346278462915876,-4.868474989288251,1.792039086583411,2.9999999999998916,0.04590173707252502,0.0,4.7175360362202605,0.0
 2.0229136854936156,2.5805278714008835,0.7336942888799795,-4.8394935121375555,1.8104691379459332,3.0000000000000724,0.04750996873528096,0.0,4.933136714324377,0.0
 2.0290449168477127,2.5916453852777943,0.732758918156983,-4.809247309640642,1.8288628320082243,2.9999999999999636,0.049062088991617035,0.0,5.146154984604117,0.0
 2.0351638153512788,2.602853093116926,0.7318221618593572,-4.777758509606229,1.8472195275189223,2.9999999999999636,0.05056205393934603,0.0,5.356820471640603,0.0
 2.0412701751981834,2.6141499603071425,0.730884447723861,-4.745047836171126,1.865538607059636,2.9999999999999636,0.05201354977058082,0.0,5.565351149179386,0.0
 2.0473637981080244,2.6255349522373113,0.729946203487253,-4.711134684907177,1.883819475789159,3.0000000000000364,0.05342001426130834,0.0,5.771954246948924,0.0
